"blind_id","run_order","model_label","model_id","condition","repetition"
"C001","1","Claude Sonnet 5","anthropic/claude-sonnet-5","control","3"
"C002","2","GPT-5.4","openai/gpt-5.4","experimental","3"
"C003","3","GPT-5.4","openai/gpt-5.4","control","2"
"C004","4","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","experimental","1"
"C005","5","GPT-5.4","openai/gpt-5.4","experimental","2"
"C006","6","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","control","3"
"C007","7","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","control","1"
"C008","8","GPT-5.4","openai/gpt-5.4","control","3"
"C009","9","Claude Sonnet 5","anthropic/claude-sonnet-5","experimental","1"
"C010","10","Claude Sonnet 5","anthropic/claude-sonnet-5","experimental","2"
"C011","11","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","experimental","2"
"C012","12","GPT-5.4","openai/gpt-5.4","control","1"
"C013","13","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","experimental","3"
"C014","14","Claude Sonnet 5","anthropic/claude-sonnet-5","control","1"
"C015","15","Claude Sonnet 5","anthropic/claude-sonnet-5","control","2"
"C016","16","DeepSeek V4 Pro","deepseek/deepseek-v4-pro","control","2"
"C017","17","Claude Sonnet 5","anthropic/claude-sonnet-5","experimental","3"
"C018","18","GPT-5.4","openai/gpt-5.4","experimental","1"
